FILIAL,NOME DO REBOCADOR,MOTIVO INDISPONIBILIDADE,,OBSERVAÇÃO DO MOTIVO,CONSEQUÊNCIAS,DATA/HORA INÍCIO,DATA/HORA FIM,CUSTO AFRETAMENTO,ref mês:
STR,SN Jatobá,REPARO,PREVENTIVO,AJUSTE DE VALVULAS,AFRETAMENTO,02/02/2015 13:00:00,02/02/2015 16:00:00,,
STR,SN Jatobá,REPARO,PREVENTIVO,MELHORIA / TROCA NAS BALROAS,AFRETAMENTO,13/02/2015 11:00:00,13/02/2015 15:40:00,,
STR,SN Jatobá,REPARO,CORRETIVO,REPARO NA TUBULAÇÃO QUE FUROU,NÃO HOUVE IMPACTO EM MANOBRA,19/02/2015 00:00:00,19/02/2015 00:00:00,,
STR,SN Jatobá,REPARO,CORRETIVO,REPARO NOS MANGOTES DA BOMBA HIDRAULICA,NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 00:00:00,20/02/2015 00:00:00,,
STR,SN Jatobá,REPARO,PREVENTIVO,TROCA DA VALVULA DO HRP,NÃO HOUVE IMPACTO EM MANOBRA,26/02/2015 00:00:00,26/02/2015 00:00:00,,
STR,Sauípe,REPARO,PREVENTIVO,LIMPEZA DA CAIXA MAR,NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 00:00:00,20/02/2015 00:00:00,,
STR,Sauípe,VISTORIA,,CERTIFICADORA ABS,NÃO HOUVE IMPACTO EM MANOBRA,24/02/2015 00:00:00,24/02/2015 00:00:00,,
VIT,S/N Aragipe,REPARO,,Troca da bateria do MCp de BE por uma nova,NÃO HOUVE IMPACTO EM MANOBRA,09/02/2015 13:00:00,09/02/2015 14:30:00,,
VIT,S/N Aragipe,REPARO,,Troca do sensor de gazes de descarga do MCP de BE.,NÃO HOUVE IMPACTO EM MANOBRA,13/02/2015 13:00:00,13/02/2015 14:45:00,,
VIT,S/N Aragipe,REPARO,,Troca do cabo principal do guincho de proa.,NÃO HOUVE IMPACTO EM MANOBRA,18/02/2015 15:30:00,18/02/2015 17:00:00,,
